"exam_id"	"exam_date"	"exam_year"	"exam_type"
"GLBAEP103090087"	"1767-11-13"	1767	"settlement"
"GLBAEP103090090"	"1767-12-00"	1767	"settlement"
"GLBAEP103090091"	"1767-12-00"	1767	"settlement"
"GLBAEP103090088"	"1767-12-01"	1767	"settlement"
"GLBAEP103090089"	"1767-12-07"	1767	"settlement"
"GLBAEP103090092"	"1768-01-19"	1768	"settlement"
"GLBAEP103090093"	"1768-01-29"	1768	"settlement"
"GLBAEP103090095"	"1768-02-00"	1768	"settlement"
"GLBAEP103090094"	"1768-02-08"	1768	"settlement"
"GLBAEP103090096"	"1768-02-15"	1768	"settlement"
"GLBAEP103090097"	"1768-02-22"	1768	"settlement"
"GLBAEP103090098"	"1768-02-26"	1768	"settlement"
"GLBAEP103090100"	"1768-03-04"	1768	"settlement"
"GLBAEP103090099"	"1768-03-09"	1768	"settlement"
"GLBAEP103090101"	"1768-03-18"	1768	"settlement"
"GLBAEP103090102"	"1768-04-14"	1768	"settlement"
"GLBAEP103090104"	"1768-04-14"	1768	"settlement"
"GLBAEP103090105"	"1768-05-28"	1768	"bastardy"
"GLBAEP103100019"	"1768-06-00"	1768	"settlement"
"GLBAEP103090106"	"1768-06-03"	1768	"settlement"
"GLBAEP103090108"	"1768-06-03"	1768	"settlement"
"GLBAEP103100006"	"1768-06-11"	1768	"settlement"
"GLBAEP103100003"	"1768-06-18"	1768	"settlement"
"GLBAEP103100005"	"1768-06-18"	1768	"settlement"
"GLBAEP103100009"	"1768-06-22"	1768	"settlement"
"GLBAEP103100012"	"1768-06-22"	1768	"settlement"
"GLBAEP103100022"	"1768-06-22"	1768	"settlement"
"GLBAEP103100028"	"1768-07-08"	1768	"settlement"
"GLBAEP103100027"	"1768-07-11"	1768	"settlement"
"GLBAEP103100035"	"1768-08-03"	1768	"settlement"
"GLBAEP103100036"	"1768-08-23"	1768	"settlement"
"GLBAEP103100299"	"1768-09-00"	1768	"settlement"
"GLBAEP103100300"	"1768-09-00"	1768	"settlement"
"GLBAEP103100307"	"1768-09-00"	1768	"settlement"
"GLBAEP103100054"	"1768-10-00"	1768	"settlement"
