"order_id"	"doc_date"	"doc_year"	"doc_month"	"has_exam"	"has_exam_b"	"multi_orders"	"vagrant"	"name_count"	"gender"	"has_child"	"to_area"	"link_exam_id"	"link_rv_chain"
"WCCDRV36900_0298"	"1754-10-02"	1754	10	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120204"	""
"WCCDRV36900_0300"	"1754-10-05"	1754	10	"yes"	1	0	0	1	"m"	0	"London"	"WCCDEP358120209"	""
"WCCDRV36900_0301"	"1754-10-09"	1754	10	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120210"	""
"WCCDRV36900_0302"	"1754-10-12"	1754	10	"yes"	1	0	0	3	"fm"	1	"Norfolk"	"WCCDEP358120211"	""
"WCCDRV36900_0303"	"1754-10-16"	1754	10	"yes"	1	1	1	1	"m"	0	"Devon"	"WCCDEP358120214"	"WCCDRV36900_0303 | WCCDRV36900_0107"
"WCCDRV36900_0304"	"1754-10-19"	1754	10	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120217"	""
"WCCDRV36900_0305"	"1754-10-29"	1754	10	"yes"	1	0	1	1	"m"	0	"Shropshire"	"WCCDEP358120219"	""
"WCCDRV36900_0306"	"1754-11-28"	1754	11	"yes"	1	0	0	2	"fm"	0	"London"	"WCCDEP358120233"	""
"WCCDRV36900_0307"	"1754-11-14"	1754	11	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120227"	""
"WCCDRV36900_0308"	"1754-11-16"	1754	11	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120228"	""
"WCCDRV36900_0309"	"1754-11-20"	1754	11	"yes"	1	0	0	2	"fm"	0	"London"	"WCCDEP358120229"	""
"WCCDRV36900_0310"	"1754-11-26"	1754	11	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120230"	""
"WCCDRV36900_0311"	"1754-12-09"	1754	12	"yes"	1	0	0	2	"fm"	1	"London"	"WCCDEP358120238"	""
